Ano	Mês	Inflação	Data
2023	4	0.92	2023-04-01
2022	4	0.83	2022-04-01
2021	4	0.21	2021-04-01
2020	4	0.28	2020-04-01
2019	4	0.52	2019-04-01
2018	4	0.52	2018-04-01
2017	4	0.79	2017-04-01
2016	4	1.06	2016-04-01
2015	4	0.95	2015-04-01
2014	4	0.82	2014-04-01
2013	4	0.61	2013-04-01
2012	4	0.71	2012-04-01
2011	4	0.84	2011-04-01
2010	4	0.67	2010-04-01
2009	4	0.84	2009-04-01
2008	4	0.9	2008-04-01
2007	4	0.94	2007-04-01
2006	4	1.08	2006-04-01
2005	4	1.41	2005-04-01
2004	4	1.18	2004-04-01
2003	4	1.87	2003-04-01
2002	4	1.48	2002-04-01
2001	4	1.19	2001-04-01
2000	4	1.3	2000-04-01
1999	4	2.35	1999-04-01
2024	5	0.83	2024-05-01
2023	5	1.12	2023-05-01
2022	5	1.03	2022-05-01
2021	5	0.27	2021-05-01
2020	5	0.24	2020-05-01
2019	5	0.54	2019-05-01
2018	5	0.52	2018-05-01
2017	5	0.93	2017-05-01
2016	5	1.11	2016-05-01
2015	5	0.99	2015-05-01
2014	5	0.87	2014-05-01
2013	5	0.6	2013-05-01
2012	5	0.74	2012-05-01
2011	5	0.99	2011-05-01
2010	5	0.75	2010-05-01
2009	5	0.77	2009-05-01
2008	5	0.88	2008-05-01
2007	5	1.03	2007-05-01
2006	5	1.28	2006-05-01
2005	5	1.5	2005-05-01
2004	5	1.23	2004-05-01
2003	5	1.97	2003-05-01
2002	5	1.41	2002-05-01
2001	5	1.34	2001-05-01
2000	5	1.49	2000-05-01
1999	5	2.02	1999-05-01
2024	6	0.79	2024-06-01
2023	6	1.07	2023-06-01
2022	6	1.02	2022-06-01
2021	6	0.31	2021-06-01
2020	6	0.21	2020-06-01
2019	6	0.47	2019-06-01
2018	6	0.52	2018-06-01
2017	6	0.81	2017-06-01
2016	6	1.16	2016-06-01
2015	6	1.07	2015-06-01
2014	6	0.82	2014-06-01
2013	6	0.61	2013-06-01
2012	6	0.64	2012-06-01
2011	6	0.96	2011-06-01
2010	6	0.79	2010-06-01
2009	6	0.76	2009-06-01
2008	6	0.96	2008-06-01
2007	6	0.91	2007-06-01
2006	6	1.18	2006-06-01
2005	6	1.59	2005-06-01
2004	6	1.23	2004-06-01
2003	6	1.86	2003-06-01
2002	6	1.33	2002-06-01
2001	6	1.27	2001-06-01
2000	6	1.39	2000-06-01
1999	6	1.67	1999-06-01
2024	7	0.91	2024-07-01
2023	7	1.07	2023-07-01
2022	7	1.03	2022-07-01
2021	7	0.36	2021-07-01
2020	7	0.19	2020-07-01
2019	7	0.57	2019-07-01
2018	7	0.54	2018-07-01
2017	7	0.8	2017-07-01
2016	7	1.11	2016-07-01
2015	7	1.18	2015-07-01
2014	7	0.95	2014-07-01
2013	7	0.72	2013-07-01
2012	7	0.68	2012-07-01
2011	7	0.97	2011-07-01
2010	7	0.86	2010-07-01
2009	7	0.79	2009-07-01
2008	7	1.07	2008-07-01
2007	7	0.97	2007-07-01
2006	7	1.17	2006-07-01
2005	7	1.51	2005-07-01
2004	7	1.29	2004-07-01
2003	7	2.08	2003-07-01
2002	7	1.54	2002-07-01
2001	7	1.5	2001-07-01
2000	7	1.31	2000-07-01
1999	7	1.66	1999-07-01
2024	8	0.87	2024-08-01
2023	8	1.14	2023-08-01
2022	8	1.17	2022-08-01
2021	8	0.43	2021-08-01
2020	8	0.16	2020-08-01
2019	8	0.5	2019-08-01
2018	8	0.57	2018-08-01
2017	8	0.8	2017-08-01
2016	8	1.22	2016-08-01
2015	8	1.11	2015-08-01
2014	8	0.87	2014-08-01
2013	8	0.71	2013-08-01
2012	8	0.69	2012-08-01
2011	8	1.07	2011-08-01
2010	8	0.89	2010-08-01
2009	8	0.69	2009-08-01
2008	8	1.02	2008-08-01
2007	8	0.99	2007-08-01
2006	8	1.26	2006-08-01
2005	8	1.66	2005-08-01
2004	8	1.29	2004-08-01
2003	8	1.77	2003-08-01
2002	8	1.44	2002-08-01
2001	8	1.6	2001-08-01
2000	8	1.41	2000-08-01
1999	8	1.57	1999-08-01
2024	9	0.84	2024-09-01
2023	9	0.97	2023-09-01
2022	9	1.07	2022-09-01
2021	9	0.44	2021-09-01
2020	9	0.16	2020-09-01
2019	9	0.46	2019-09-01
2018	9	0.47	2018-09-01
2017	9	0.64	2017-09-01
2016	9	1.11	2016-09-01
2015	9	1.11	2015-09-01
2014	9	0.91	2014-09-01
2013	9	0.71	2013-09-01
2012	9	0.54	2012-09-01
2011	9	0.94	2011-09-01
2010	9	0.85	2010-09-01
2009	9	0.69	2009-09-01
2008	9	1.1	2008-09-01
2007	9	0.8	2007-09-01
2006	9	1.06	2006-09-01
2005	9	1.5	2005-09-01
2004	9	1.25	2004-09-01
2003	9	1.68	2003-09-01
2002	9	1.38	2002-09-01
2001	9	1.32	2001-09-01
2000	9	1.22	2000-09-01
1999	9	1.49	1999-09-01
2024	10	0.93	2024-10-01
2023	10	1.0	2023-10-01
2022	10	1.02	2022-10-01
2021	10	0.49	2021-10-01
2020	10	0.16	2020-10-01
2019	10	0.48	2019-10-01
2018	10	0.54	2018-10-01
2017	10	0.64	2017-10-01
2016	10	1.05	2016-10-01
2015	10	1.11	2015-10-01
2014	10	0.95	2014-10-01
2013	10	0.81	2013-10-01
2012	10	0.61	2012-10-01
2011	10	0.88	2011-10-01
2010	10	0.81	2010-10-01
2009	10	0.69	2009-10-01
2008	10	1.18	2008-10-01
2007	10	0.93	2007-10-01
2006	10	1.09	2006-10-01
2005	10	1.41	2005-10-01
2004	10	1.21	2004-10-01
2003	10	1.64	2003-10-01
2002	10	1.65	2002-10-01
2001	10	1.53	2001-10-01
2000	10	1.29	2000-10-01
1999	10	1.38	1999-10-01
2024	11	0.54	2024-11-01
2023	11	0.92	2023-11-01
2022	11	1.02	2022-11-01
2021	11	0.59	2021-11-01
2020	11	0.15	2020-11-01
2019	11	0.38	2019-11-01
2018	11	0.49	2018-11-01
2017	11	0.57	2017-11-01
2016	11	1.04	2016-11-01
2015	11	1.06	2015-11-01
2014	11	0.84	2014-11-01
2013	11	0.72	2013-11-01
2012	11	0.55	2012-11-01
2011	11	0.86	2011-11-01
2010	11	0.81	2010-11-01
2009	11	0.66	2009-11-01
2008	11	1.02	2008-11-01
2007	11	0.84	2007-11-01
2006	11	1.02	2006-11-01
2005	11	1.38	2005-11-01
2004	11	1.25	2004-11-01
2003	11	1.34	2003-11-01
2002	11	1.54	2002-11-01
2001	11	1.39	2001-11-01
2000	11	1.22	2000-11-01
1999	11	1.39	1999-11-01
2024	12		2024-12-01
2023	12	0.89	2023-12-01
2022	12	1.12	2022-12-01
2021	12	0.77	2021-12-01
2020	12	0.16	2020-12-01
2019	12	0.37	2019-12-01
2018	12	0.49	2018-12-01
2017	12	0.54	2017-12-01
2016	12	1.12	2016-12-01
2015	12	1.16	2015-12-01
2014	12	0.96	2014-12-01
2013	12	0.79	2013-12-01
2012	12	0.55	2012-12-01
2011	12	0.91	2011-12-01
2010	12	0.93	2010-12-01
2009	12	0.73	2009-12-01
2008	12	1.12	2008-12-01
2007	12	0.84	2007-12-01
2006	12	0.99	2006-12-01
2005	12	1.47	2005-12-01
2004	12	1.48	2004-12-01
2003	12	1.37	2003-12-01
2002	12	1.74	2002-12-01
2001	12	1.39	2001-12-01
2000	12	1.2	2000-12-01
1999	12	1.6	1999-12-01
